,Data61
x3_CLASSE PREMIERE CP671,0.23727120459079742
x7_C027,0.20487219095230103
x3_AS-S01,0.1118890717625618
x3_ASPEN GT-AS,0.07393620163202286
x0_HTLS 1500D/2P-55.1/5cm,0.034175626933574677
x0_PET 1300D/2P 28EPI,0.02123819664120674
x0_HTLS 1500D/2P 47.4/5cm,0.021122276782989502
x0_CORDENKA SUPER3 1650D/2P 28EPI,0.02004011534154415
"x0_PET 1500d/2p 28EPI (양변부 #2,3 고신도사)",0.016141753643751144
x0_2000D/2P 25EPI,0.014955852180719376
x3_CLASSE PREMIERE CP661,0.014118644408881664
x12_2F,0.011179553344845772
x0_1300D/2P 30EPI,0.010800451040267944
x0_HTLS 1000D/2P 55.1/5cm,0.010025684721767902
x2_[AR/N66] HYBRID 1000/840,0.009982267394661903
x9_BF76,0.007558594923466444
Data11,0.00647567817941308
x6_T415,0.004927037283778191
Data57,0.004596470855176449
x0_1300D/2P 32EPI,0.00433084974065423
Data22,0.004251495469361544
x3_EUROVIS HP01,0.0038915053009986877
x1_SE2018,0.0033370396122336388
x10_WC11,0.0033198276069015265
x10_B335,0.003311867592856288
x9_RX25,0.0027839650865644217
x6_TZ20,0.0026324610225856304
x1_WCP180,0.0025531616993248463
x2_[AR/N66] HYBRID 1500/1260,0.0024936371482908726
x1_WCD180,0.0023547152522951365
Data33,0.002320491708815098
x3_MI2,0.002167880069464445
x6_TH20,0.0021585391368716955
"x0_2000D/2P 25EPI (양변부 #2,3 고신도사)",0.0020898838993161917
x1_WCD150,0.002052757190540433
x0_CORDENKA 700 SUPER3 2200 D/2P 25.4EPI,0.001973220380023122
x1_WSD205,0.0018179744947701693
x10_WB11,0.0017592821968719363
x6_TC73,0.001702203182503581
x3_ROADIAN HTX,0.0016898249741643667
x12_1A,0.0016357738059014082
x1_WSD240,0.0016278557013720274
x1_SC1875,0.0016148119466379285
x1_WHB_146,0.0016015730798244476
x6_TZ95,0.0015913679962977767
x3_N'FERA Sport,0.001544247381389141
x1_WKD180,0.001528864144347608
x3_N'blue HD,0.001447691349312663
x6_TR89,0.0013892713468521833
x3_i.Q series 1,0.0013866577064618468
x7_CA27,0.0013841053005307913
x8_W730,0.0013621333055198193
x2_NYLON-66 1260D/1P,0.0013242840068414807
x6_TY14,0.0012923706090077758
x2_NYLON-66 840D/2P 28EPI,0.0012910342775285244
x1_SB1811,0.0012901535956189036
x6_TZ14,0.0012800496770069003
x6_TP64,0.0012745725689455867
x5_S,0.0012663097586482763
x6_TV62,0.0012475424446165562
x3_ROADIAN ATX,0.0012287278659641743
x6_TA64,0.0011858156649395823
x6_T239,0.001182750565931201
x6_T435,0.001158611848950386
x6_T549,0.0011306091910228133
x3_ARIA AH7,0.0011095117079094052
x9_RA25,0.0011038293596357107
x6_T374,0.001101187546737492
x3_N'FERA Primus QX,0.0010762959718704224
Data41,0.0010720598511397839
x6_T357,0.001056250068359077
x6_TD81,0.001049572485499084
x3_ROADIAN HTX 2,0.0010018936591222882
Data15,0.0009608247200958431
x11_3P,0.0009545956854708493
Data10,0.0009466375922784209
x3_WINGUARD Snow'G 3,0.0009400638518854976
x9_RP25,0.0009355751099064946
x10_BP35,0.000888188777025789
x6_TB95,0.0008700796752236784
x3_ROADIAN AT Pro RA8,0.0008645713678561151
x11_2P,0.0008349761483259499
x4_D,0.0008330706623382866
x2_NYLON-66 1260D/2P 25EPI,0.0008257637964561582
x3_N'FERA AU7,0.0007975241751410067
x3_N7000 Plus,0.0007741608424112201
x6_TX59,0.0007708438788540661
x10_W711,0.000759823655243963
x1_WSD200,0.0007504125242121518
x7_C938,0.0007227443857118487
x7_CE37,0.0007222549756988883
x3_N'blue Eco,0.0007156124920584261
x6_T394,0.0007092317682690918
x6_TW92,0.0007077780901454389
x6_TB64,0.0007076693000271916
x6_TB10,0.0007014052825979888
x4_X,0.0007001208723522723
Data26,0.0006985104409977794
x6_TZ62,0.0006978436722420156
x3_N'priz AH8,0.0006780082476325333
x3_WINGUARD Sport 2 SUV,0.0006617825711145997
Data36,0.0006600049091503024
x6_TW28,0.0006557874730788171
x3_Winter LTR,0.0006281589157879353
x3_Milecap 2,0.000618049583863467
x0_1260D/2P-50.0/5cm,0.000616427802015096
x6_TZ69,0.000612660136539489
x1_WKD_180,0.0006120307953096926
x6_T326,0.0005902867414988577
x8_WL30,0.0005895765498280525
x3_N'FERA Primus AS T1,0.0005867215222679079
x6_TA20,0.0005826434353366494
x3_N'priz S EV,0.0005824051331728697
x3_RAPTIS R-T5,0.000574144534766674
Data27,0.0005717301391996443
x6_TD94,0.0005608000792562962
Data17,0.0005594082758761942
Data20,0.000550763332284987
x6_TB38,0.0005298797623254359
x6_TH14,0.0005258896271698177
x6_T467,0.0005252115079201758
x1_WHB146,0.0005164729664102197
x6_TM62,0.0005062385462224483
x3_Sceptor 4XS,0.0004980287048965693
x4_S,0.0004690427449531853
x3_N'priz S,0.0004670871130656451
x3_N'priz SH9i,0.00045044475700706244
x1_WKD150,0.00044913068995811045
x12_1H,0.0004422627971507609
x4_F,0.00043177156476303935
x6_TY57,0.00042577902786433697
x3_EUROVIS Sport 04,0.0004211099585518241
x6_TC86,0.0004126976418774575
x3_N'blue SUPREME,0.00040961531340144575
x3_WINGUARD Sport 2,0.000409030937589705
x6_TC19,0.0004072809242643416
Data21,0.00040725668077357113
x6_T575,0.00040304730646312237
x3_PV-X1,0.0004018174367956817
x3_EUROVIS Alpine WH1,0.00040113358409143984
x6_TJ70,0.0003967447264585644
x3_N'blue 4Season Van,0.0003953771956730634
x6_TF16,0.0003872820525430143
x7_CH37,0.0003870080108754337
x6_TA57,0.0003860846336465329
x6_TP20,0.0003825642343144864
Data14,0.00037814927054569125
x6_TB86,0.0003742246772162616
x6_TB54,0.00037373488885350525
x6_T219,0.00037046748911961913
x3_N'blue ROYAL,0.0003665655676741153
x6_TB24,0.00036434788489714265
x6_TB71,0.0003601315547712147
x6_T412,0.0003573413996491581
x3_N'blue Eco AH01,0.0003467911446932703
x6_TA16,0.00034664961276575923
x3_N'priz 4S,0.00034200469963252544
x3_WINGUARD WT1,0.0003418950946070254
x3_WINGUARD Snow'G 2,0.000341750041116029
x6_TV55,0.0003338242240715772
Data38,0.00032449726131744683
x6_TK80,0.00032429577549919486
x3_N'FERA Primus UX,0.00031943488284014165
x3_N'FERA Primus V,0.0003192969015799463
x6_T569,0.00031837570713832974
Data51,0.0003163313667755574
x6_T314,0.00031353882513940334
Data37,0.0003135385049972683
x6_T572,0.00031130033312365413
x6_TC80,0.0003094567800872028
x3_N'FERA RU1,0.0003080503083765507
x3_N'priz GX,0.00030725219403393567
x3_N'FERA SU1,0.000305527908494696
x3_WINGUARD Snow'G,0.0002961056015919894
x6_TA80,0.0002932016795966774
x4_C,0.0002909891481976956
x6_TW73,0.000284559209831059
x6_TY62,0.0002748008701018989
x6_TG72,0.00027454091468825936
x6_T513,0.0002743032237049192
x6_TC81,0.00026920082746073604
x6_TA27,0.00026844130479730666
x6_TV92,0.00025896966690197587
x6_TC24,0.00025647791335359216
x7_CZ34,0.0002516645472496748
x8_WG30,0.00024235318414866924
x6_T440,0.00024146547366399318
x3_ROADIAN GTX,0.00023922009859234095
x6_TA54,0.00023838512424845248
x6_TC59,0.0002357891498832032
x6_T534,0.00023214008251670748
x6_T410,0.00023157912073656917
x12_2G,0.0002312567230546847
x6_T570,0.00022764811001252383
x3_N'blue Premium,0.00022724478913005441
x6_TC20,0.00022112061560619622
x6_T336,0.00022023863857612014
x6_T390,0.0002200687158619985
x6_TZ70,0.00021217996254563332
x6_TB89,0.00021141536126378924
x3_Non Pattern,0.00021095346892252564
x3_N'priz RH1,0.00020509799651335925
Data18,0.00020103405404370278
x10_BK35,0.000200138078071177
x3_ROADIAN CT8,0.00019768984930124134
x6_TA71,0.00019329525821376592
x3_N'blue S,0.00019251352932769805
x1_WMP180,0.00018895608081948012
x6_TJ64,0.00018670278950594366
x3_N'priz AH7,0.0001855478622019291
x6_TA15,0.00018318156071472913
x12_1E,0.00018156773876398802
x6_TA25,0.00017872769967652857
x6_T856,0.0001723457535263151
x6_T770,0.0001723418099572882
x6_TK70,0.0001612626510905102
x7_CJ37,0.00015885171887930483
x7_CP27,0.0001577982766320929
x3_N'priz AH6TX,0.00015175467706285417
x3_ROADIAN 542,0.00015063736645970494
x9_RS25,0.00014779956836719066
x8_WH30,0.00014689864474348724
x6_TE92,0.00014106630987953395
x6_TF86,0.00014013964391779155
x6_TR64,0.00014005901175551116
x6_TL59,0.0001364543568342924
x6_TE75,0.00013322470476850867
x6_TW71,0.00012790365144610405
x6_TB55,0.00011681831529131159
Data35,0.00011637902935035527
x5_T,0.00011058760719606653
Data59,0.00010973533790092915
x4_R,0.00010957785707432777
x6_TE26,0.00010946323891403154
x10_WA11,0.00010786240454763174
x6_TD14,9.95219816104509e-05
x6_TK35,9.232732554664835e-05
x6_TL14,9.017645061248913e-05
x6_TK62,8.99730293895118e-05
x6_TB59,8.971696661319584e-05
x6_T564,8.962034189607948e-05
x6_T107,6.845635653007776e-05
x3_N'priz RH7@,6.173012661747634e-05
x7_CA36,5.646094723488204e-05
x7_CB36,4.844980867346749e-05
x3_OPERA,4.705675382865593e-05
x6_T430,3.766136433114298e-05
x6_TJ80,3.74469964299351e-05
x6_T594,3.295105852885172e-05
x3_N'priz CX,2.2324875317281112e-05
x3_N5000 Plus,2.0691810277639888e-05
x3_WINGUARD WT1R,7.664390068384819e-06
x3_ROADIAN MTX,5.065217010269407e-06
x3_CLASSE PREMIERE CP672,0.0
x3_CLASSE PREMIERE CP691,0.0
x3_N'FERA AU5,0.0
x3_N'FERA Primus,0.0
x3_N'FERA RU5,0.0
x3_N'FERA SU4,0.0
x3_N'FERA SUR4,0.0
x3_N'FERA SUR4G,0.0
x3_N'FERA Sport SUV,0.0
x3_N'blue 4Season,0.0
x3_N'blue 4Season 2,0.0
x3_N'blue EV,0.0
x3_N'blue HD Plus,0.0
x3_N'priz AH5,0.0
x3_N'priz RH7,0.0
x3_N5000 Platinum,0.0
x3_N7000,0.0
x3_N8000,0.0
x3_ROADIAN CTX,0.0
x3_ROADIAN HP,0.0
x3_ROADIAN HTX RH5,0.0
x3_TERRA TRAC CROSS-V,0.0
x4_E,0.0
x6_T342,0.0
x6_T354,0.0
x6_T371,0.0
x6_T425,0.0
x6_T426,0.0
x6_T439,0.0
x6_T446,0.0
x6_T455,0.0
x6_T456,0.0
x6_T459,0.0
x6_T475,0.0
x6_T480,0.0
x6_T495,0.0
x6_T520,0.0
x6_T521,0.0
x6_T524,0.0
x6_T525,0.0
x6_T537,0.0
x6_T544,0.0
x6_T551,0.0
x6_T554,0.0
x6_T555,0.0
x6_T562,0.0
x6_T566,0.0
x6_T573,0.0
x6_T584,0.0
x6_T585,0.0
x6_T586,0.0
x6_T592,0.0
x6_T593,0.0
x6_T694,0.0
x6_T750,0.0
x6_T826,0.0
x6_T854,0.0
x6_T864,0.0
x6_T875,0.0
x6_TA10,0.0
x6_TA13,0.0
x6_TA14,0.0
x6_TA24,0.0
x6_TA29,0.0
x6_TA31,0.0
x6_TA40,0.0
x6_TA45,0.0
x6_TA55,0.0
x6_TA59,0.0
x6_TA62,0.0
x6_TA69,0.0
x6_TA72,0.0
x6_TA73,0.0
x6_TA81,0.0
x6_TA84,0.0
x6_TA86,0.0
x6_TA94,0.0
x6_TA95,0.0
x6_TB14,0.0
x6_TB15,0.0
x6_TB16,0.0
x6_TB19,0.0
x6_TB31,0.0
x6_TB67,0.0
x6_TB69,0.0
x6_TB70,0.0
x6_TB80,0.0
x6_TB81,0.0
x6_TB92,0.0
x6_TB94,0.0
x6_TC13,0.0
x6_TC14,0.0
x6_TC30,0.0
x6_TC35,0.0
x6_TC64,0.0
x6_TC71,0.0
x6_TC75,0.0
x6_TC95,0.0
x6_TD16,0.0
x6_TD64,0.0
x6_TD86,0.0
x6_TD89,0.0
x6_TE16,0.0
x6_TE19,0.0
x6_TE30,0.0
x6_TE40,0.0
x6_TE55,0.0
x6_TE64,0.0
x6_TE86,0.0
x6_TE94,0.0
x6_TF14,0.0
x6_TF17,0.0
x6_TF19,0.0
x6_TF39,0.0
x6_TF62,0.0
x6_TF80,0.0
x6_TF81,0.0
x6_TF90,0.0
x6_TG14,0.0
x6_TG17,0.0
x6_TG64,0.0
x6_TG80,0.0
x6_TG81,0.0
x6_TH16,0.0
x6_TH35,0.0
x6_TH39,0.0
x6_TH75,0.0
x6_TH80,0.0
x6_TJ16,0.0
x6_TJ54,0.0
x6_TJ89,0.0
x6_TK20,0.0
x6_TK30,0.0
x6_TK64,0.0
x6_TK73,0.0
x6_TM30,0.0
x6_TM54,0.0
x6_TM59,0.0
x6_TM64,0.0
x6_TM72,0.0
x6_TM73,0.0
x6_TN20,0.0
x6_TN30,0.0
x6_TN64,0.0
x6_TN74,0.0
x6_TP30,0.0
x6_TP39,0.0
x6_TP59,0.0
x6_TP73,0.0
x6_TP89,0.0
x6_TP94,0.0
x6_TQ59,0.0
x6_TR15,0.0
x6_TR20,0.0
x6_TR39,0.0
x6_TR62,0.0
x6_TR74,0.0
x6_TS59,0.0
x6_TU40,0.0
x6_TU54,0.0
x6_TU59,0.0
x6_TU71,0.0
x6_TV28,0.0
x6_TW59,0.0
x6_TW62,0.0
x6_TW64,0.0
x6_TX40,0.0
x6_TX70,0.0
x6_TX71,0.0
x6_TY64,0.0
x6_TY70,0.0
x6_TY71,0.0
x6_TZ30,0.0
x6_TZ49,0.0
x6_TZ57,0.0
x6_TZ71,0.0
x7_C934,0.0
x7_CB34,0.0
x7_CP34,0.0
x8_W530,0.0
x8_WC30,0.0
x8_WK30,0.0
x8_WM30,0.0
x8_WP30,0.0
x8_WP40,0.0
x8_WS30,0.0
x8_WZ30,0.0
x9_B776,0.0
x9_B853,0.0
x9_BC76,0.0
x9_BD76,0.0
x9_BP76,0.0
x10_B170,0.0
x10_B170|B170,0.0
x10_BA47,0.0
x10_BF35,0.0
x10_BF35|BF35,0.0
x10_BH35,0.0
x10_WG11,0.0
x11_1P,0.0
x12_1F,0.0
x12_1G,0.0
Data12,0.0
Data13,0.0
Data16,0.0
Data19,0.0
Data23,0.0
Data24,0.0
Data28,0.0
Data29,0.0
Data30,0.0
Data31,0.0
Data32,0.0
Data34,0.0
Data39,0.0
Data40,0.0
Data42,0.0
Data58,0.0
Data6,0.0
Data60,0.0
